Macro_Var,R_squared,Coefficient,P_value
10Y,0.002,-0.0021,-0.01
AllMacros,0.184,-0.0104,-0.033
ConsumerSentiment,0.001,-0.0001,-0.001
CPI,0.001,,
FedFunds,0.0,-0.0002,-0.005
GDP,0.0,,
M2,0.0,,
Unemployment,0.027,0.0031,0.0
